org,channel,product,planner
org1,Non Revenue,B PBBN,user1
org1,Non Revenue,B PBBT,user1
org1,Non Revenue,B V UB,user1
org1,Non Revenue,B PDEF,user1
org1,Non Revenue,B PDBN,user1
org1,Non Revenue,B PDBT,user1
org1,Non Revenue,B V TE,user1
org1,Non Revenue,B RAB,user1
org1,Non Revenue,E A M,user1
org1,Non Revenue,M ABC,user1
org1,Non Revenue,M ABH,user1
org1,Non Revenue,C D CA,user1
org1,Non Revenue,C D K,user1
org1,Non Revenue,C D RK,user1
org1,Non Revenue,CAS AH,user1
org1,Non Revenue,C D L,user1
org1,Non Revenue,C D RL,user1
org1,Non Revenue,C D I,user1
org1,Non Revenue,MBAAB,user1
org1,Non Revenue,MBABB,user1
org1,Non Revenue,MBAEC,user1
org1,Non Revenue,A X CA,user1
org1,Non Revenue,A X AA,user1
org1,Non Revenue,F C F,user1
org1,Non Revenue,M OAZY,user1
org1,Non Revenue,F Z Y,user1
org1,Non Revenue,O B FE,user1
org1,Non Revenue,O B FH,user1
org1,Non Revenue,M JBA,user1
org1,Non Revenue,M JCA,user1
org1,Non Revenue,H P B,user1
org1,Non Revenue,H V D,user1
org1,Non Revenue,H S A,user1
org1,Non Revenue,H S C,user1
org1,Non Revenue,M JBB,user1
org1,Non Revenue,R B C,user3
org1,Non Revenue,R B L,user1
org1,Non Revenue,H S AA,user1
org1,Non Revenue,F T E,user1
org1,Non Revenue,PODBA,user1
org1,Non Revenue,MBCAC,user1
org1,Non Revenue,F A BA,user1
org1,Non Revenue,F A MA,user1
org1,Non Revenue,F A LA,user1
org1,Non Revenue,F A RA,user1
org1,Non Revenue,FAS B,user1
org1,Non Revenue,MAO V,user1
org1,Non Revenue,F A MI,user1
org1,Non Revenue,F GAA,user1
org1,Non Revenue,MACAYB,user1
org1,Non Revenue,FAR R,user1
org1,Non Revenue,FAS A,user1
org1,Non Revenue,U H A,user1
org1,Non Revenue,U H B,user3
org1,Non Revenue,R B G,user1
org1,Non Revenue,MAO S,user1
org1,Non Revenue,FAP A,user1
org1,Non Revenue,FAM A,user1
org1,Non Revenue,MACBJ,user1
org1,Non Revenue,MACDB,user1
org1,Non Revenue,MAP BX,user1
org1,Non Revenue,MACBC,user3
org1,Non Revenue,MAO BL,user1
org1,Non Revenue,MAO AM,user1
org1,Non Revenue,MACEC,user1
org1,Non Revenue,MACEA,user1
org1,Non Revenue,MAP BM,user1
org1,Non Revenue,MAP CN,user1
org1,Non Revenue,MAO BZ,user1
org1,Non Revenue,MAO BD,user1
org1,Non Revenue,FJM O,user1
org1,Non Revenue,MAP ZC,user1
org1,Non Revenue,MAP ZB,user1
org1,Non Revenue,MAP ZA,user1
org1,Non Revenue,MACAD,user1
org1,Non Revenue,MACGF,user1
org1,Non Revenue,HJM H,user1
org1,Non Revenue,MACEG,user1
org1,Non Revenue,MACEH,user1
org1,Non Revenue,MACEE,user1
org1,Non Revenue,MACEI,user1
org1,Non Revenue,MACEK,user1
